0MinReturn,LossAfter,0AveragePolicyStd,1AveragePolicyStd,1ProcessExecTime,1EnvExecTime,0Entropy,1PolicyExecTime,ComputeUpdatedDistTime,ItrTime,1Entropy,0ExplainedVariance,1Perplexity,1MinReturn,0AverageReturn,1StdReturn,0Perplexity,0PolicyExecTime,MeanKL,0StdReturn,0MaxReturn,1MaxReturn,0EnvExecTime,0NumTrajs,Time,LossBefore,0ProcessExecTime,MeanKLBefore,1NumTrajs,dLoss,1ExplainedVariance,1AverageReturn
-50.0,-0.004528054501861334,1.0581625,1.0580993,0.4530761241912842,96.50785756111145,5.900629,11.58769416809082,0.9884786605834961,222.96248984336853,5.9003215,0.9796659860819564,365.15485,-50.0,-48.40125,4.881178136474841,365.26715,1.4946582317352295,0.005060646217316389,3.0520891922583124,-27.0,-21.0,101.72983193397522,800,5965.032969713211,-4.1976568887491794e-09,0.6325399875640869,0.0,800,0.004528050304204445,0.9337042950465261,-46.29
-50.0,-0.004152675159275532,1.0583117,1.0579293,0.4492037296295166,96.07182908058167,5.9011965,11.46345829963684,1.056208848953247,222.74874591827393,5.899681,0.9727131008608786,364.92108,-50.0,-48.0175,5.145043731592571,365.4745,1.4562480449676514,0.008565226569771767,3.5506610300055397,-18.0,-23.0,102.02834868431091,800,6187.7850689888,-2.673268273412077e-09,0.6127924919128418,0.0,800,0.004152672486007258,0.9262063171656307,-45.605
-50.0,-0.00011719272879417986,1.0596192,1.0597241,0.4423344135284424,96.65283942222595,5.9060493,11.558601379394531,0.9821436405181885,224.625572681427,5.9063587,0.9853473540115394,367.36603,-50.0,-48.42,5.302445043326711,367.25235,1.4658989906311035,0.008428364992141724,2.7501999927278016,-25.0,-16.0,103.39909648895264,800,6412.41396355629,-3.4719707664443433e-10,0.6127901077270508,0.0,800,0.00011719238159710321,0.921392378897717,-45.30875
-50.0,-0.006899991072714329,1.0550845,1.0545999,0.4544861316680908,97.00622820854187,5.889173,11.540288209915161,1.0463511943817139,222.6903998851776,5.887277,0.9718653270232965,360.42258,-50.0,-48.20375,5.024365476107406,361.10654,1.444854974746704,0.00961112231016159,3.565071659518221,-24.0,-18.0,101.01194429397583,800,6635.107624053955,-4.010647369767639e-09,0.6029016971588135,0.0,800,0.006899987062066959,0.9307046938643772,-45.76125
-50.0,-0.002827238291501999,1.0519227,1.0521038,0.44681525230407715,97.092453956604,5.876915,11.660019636154175,2.254237174987793,224.64966821670532,5.8774834,0.9558411170083528,356.9099,-50.0,-47.43125,5.657746901373372,356.7071,1.496976375579834,0.005854365415871143,4.530206776461754,-18.0,-17.0,101.47602677345276,800,6859.760651350021,1.014769046570052e-09,0.6135821342468262,0.0,800,0.0028272393062710455,0.9170528118859079,-45.07
-50.0,-0.0008531425264663994,1.0485288,1.0486292,0.4433629512786865,97.88668179512024,5.8641596,11.69660234451294,1.0088446140289307,225.0483524799347,5.8644557,0.9561650323545663,352.29034,-50.0,-47.56125,5.380004065983594,352.18604,1.4680702686309814,0.004082511644810438,4.495692208937351,-15.0,-17.0,102.17932868003845,800,7084.812381744385,1.1458991533430662e-09,0.6206865310668945,0.0,800,0.0008531436723655528,0.9304153621020326,-45.6675
-50.0,-0.0007267174660228193,1.0526183,1.0525564,0.4414386749267578,98.40121865272522,5.8796163,11.885677337646484,1.0066454410552979,226.21346926689148,5.8793306,0.962380521121813,357.56982,-50.0,-47.96125,6.6949504059029445,357.67197,1.486417293548584,0.0036259356420487165,4.372041678380937,-20.0,-9.0,102.85633563995361,800,7311.030365228653,-1.8671155732619127e-09,0.6151916980743408,0.0,800,0.000726715598907246,0.9029485086814671,-44.85375
-50.0,-0.00011134706437587738,1.0563419,1.0569235,0.45036840438842773,98.16265201568604,5.8933687,12.061915636062622,1.015549898147583,226.77597546577454,5.895447,0.9633133660113585,363.37915,-50.0,-47.7775,6.101880345434512,362.62482,1.5178635120391846,0.00894760712981224,4.325562824650683,-20.0,-12.0,103.22836303710938,800,7537.810702323914,1.0684131357407978e-09,0.6189806461334229,0.0,800,0.00011134813278901312,0.9188969772680192,-45.6925
-50.0,-0.002345113083720207,1.0606359,1.0611931,0.44080424308776855,100.43134474754333,5.9091797,11.831261157989502,0.9943163394927979,229.12206053733826,5.9112105,0.9658418385785689,369.15277,-50.0,-48.04375,6.742300122176407,368.40384,1.4934308528900146,0.0041910577565431595,4.244624357643442,-21.0,-11.0,103.78509902954102,800,7766.936081171036,7.748603425561384e-10,0.6166384220123291,0.0,800,0.0023451138585805498,0.917025781292558,-45.83375
-50.0,-0.0022564739920198917,1.0641315,1.0638976,0.43867063522338867,99.416419506073,5.92186,11.951934337615967,1.0385425090789795,227.91302347183228,5.920848,0.9606848684536713,372.7276,-50.0,-48.0225,5.913602434218926,373.10513,1.4507875442504883,0.004405311308801174,4.496887117773805,-20.0,-15.0,103.1932680606842,800,7994.852419614792,-1.7166137400437265e-09,0.6129372119903564,0.0,800,0.0022564722754061517,0.932048156277236,-46.0425
-50.0,-0.004855949431657791,1.0656015,1.0660446,0.4359414577484131,100.78000116348267,5.9272614,11.81383490562439,1.0006909370422363,230.12009572982788,5.9287987,0.9728674821198281,375.7029,-50.0,-48.2425,6.2032123734400715,375.12576,1.4993209838867188,0.006215357221662998,3.8139472662846297,-17.0,-7.0,104.37584567070007,800,8224.975937843323,1.9222516633998765e-10,0.6188380718231201,0.0,800,0.0048559496238829575,0.9234334294646789,-46.2125
-50.0,-0.0033998347353190184,1.0781204,1.0784994,0.45299267768859863,101.37477850914001,5.972564,12.27139401435852,0.9732780456542969,231.58002066612244,5.9738774,0.9520596691631567,393.02664,-50.0,-47.46,7.583221198804634,392.51086,1.432708740234375,0.002691426547244191,4.983562982445391,-17.0,-8.0,104.866854429245,800,8456.561086416245,-1.2025237472457206e-09,0.6064915657043457,0.0,800,0.003399833532795271,0.8948341853459805,-44.9525
-50.0,-0.0041100322268903255,1.0732249,1.0733722,0.4517028331756592,101.36378860473633,5.9551396,12.455045461654663,1.006256341934204,231.98726606369019,5.9555416,0.951305691595585,385.88586,-50.0,-47.26875,7.017955097462508,385.73077,1.479452133178711,0.0063041518442332745,4.998152002240428,-19.0,-14.0,104.961345911026,800,8688.551676273346,-4.5597547959630447e-10,0.6256334781646729,0.0,800,0.004110031770914846,0.904982610234027,-45.0575
-50.0,-0.005805268883705139,1.0792725,1.0796038,0.4409501552581787,100.44927978515625,5.9771338,12.517858266830444,1.0258972644805908,231.13628816604614,5.978189,0.9552674566604974,394.72488,-50.0,-47.495,7.119150120449771,394.30856,1.457641839981079,0.008288494311273098,4.872625062530463,-15.0,-13.0,104.95557808876038,800,8919.69133901596,1.3373794294224695e-09,0.6212704181671143,0.0,800,0.005805270221084569,0.8881148579051622,-44.22125
-50.0,-0.004349328111857176,1.0843334,1.0848776,0.4491448402404785,100.6654269695282,5.9958963,12.465181350708008,2.4414255619049072,232.2656614780426,5.997716,0.9496190823893113,402.5084,-50.0,-47.2325,7.6995028248582384,401.77664,1.506577491760254,0.009925912134349346,5.0858572286292105,-19.0,-8.0,104.41598510742188,800,9151.960301160812,-1.6316763218338082e-10,0.6336896419525146,0.0,800,0.004349327948689544,0.879753488160463,-44.5125
-50.0,-0.0040774536319077015,1.0898178,1.0903598,0.4517843723297119,101.7043251991272,6.016047,12.642184495925903,1.0246191024780273,232.11130738258362,6.018039,0.9452111393090303,410.77237,-50.0,-47.375,7.487304984939508,409.95483,1.4651143550872803,0.005146146286278963,5.309366723065944,-16.0,-11.0,104.50224232673645,800,9384.075007677078,-2.072751525972194e-09,0.6109848022460938,0.0,800,0.0040774515591561755,0.8912446825025176,-44.79625
-50.0,-0.0025582548696547747,1.0958346,1.0958127,0.4446594715118408,101.01637315750122,6.036689,12.445612907409668,1.034956932067871,231.7980659008026,6.0364914,0.9481020908214786,418.42236,-50.0,-47.17125,7.719540850173669,418.50497,1.5071814060211182,0.008005917072296143,5.40110390915598,-9.0,-10.0,104.98669290542603,800,9615.877698898315,-1.1816619904791992e-09,0.623422384262085,0.0,800,0.002558253687992784,0.8851427501150704,-44.08625
-50.0,-0.0006700350786559284,1.0901717,1.0905151,0.4507572650909424,102.43590235710144,6.0171137,12.913875818252563,1.0106751918792725,233.56981205940247,6.0183597,0.9322617126921715,410.90402,-50.0,-46.76625,8.38560671627283,410.39236,1.4875853061676025,0.007446101401001215,6.434408359554124,-10.0,-8.0,104.91245198249817,800,9849.45087146759,6.30319130223711e-10,0.6293113231658936,0.0,800,0.0006700357089750586,0.8803648458084912,-44.46
-50.0,-0.0020823106169700623,1.1027716,1.103319,0.4464552402496338,102.39561891555786,6.062287,12.73644471168518,1.021848201751709,233.85620594024658,6.064204,0.9333699508829312,430.1802,-50.0,-46.99625,8.394603828501975,429.3562,1.5129389762878418,0.0032747527584433556,6.087383340771304,-9.0,-5.0,105.52548670768738,800,10083.31061244011,3.412367333144317e-10,0.6328158378601074,0.0,800,0.0020823109582067956,0.8856325589994686,-44.75125
-50.0,-0.0010547172278165817,1.097317,1.0968797,0.44975876808166504,102.52891206741333,6.0425496,13.102006196975708,1.0621311664581299,234.67612886428833,6.041028,0.9524080723653999,420.32492,-50.0,-47.1475,7.552556582873113,420.96497,1.4974684715270996,0.007534616161137819,5.1667924043839815,-19.0,-14.0,105.41329193115234,800,10317.991100549698,1.2785195124820348e-09,0.6230695247650146,0.0,800,0.0010547185063360942,0.8894549241795255,-45.16625
